2026-08-07 08:14:15,714 | WARNING  | arbitr8der_package.data_sources.coinbase_spot_price_stream | Coinbase WebSocket disconnected:  — reconnecting in 2.0s
2026-08-07 08:14:20,668 | INFO     | httpx | HTTP Request: GET https://api.binance.us/api/v3/klines?symbol=BTCUSDT&interval=1m&endTime=1786115647902&limit=1000 "HTTP/1.1 200 OK"
2026-08-07 08:14:20,691 | INFO     | httpx | HTTP Request: GET https://api.elections.kalshi.com/trade-api/v2/markets?series_ticker=KXETH15M&status=settled&limit=20 "HTTP/1.1 200 OK"
2026-08-07 08:14:21,034 | INFO     | arbitr8der_package.data_sources.kalshi_orderbook_websocket_client | Connected to Kalshi WebSocket for KXBTC15M-26AUG071115-15
2026-08-07 08:14:21,037 | INFO     | arbitr8der_package.data_sources.kalshi_orderbook_websocket_client | Sent subscribe for KXBTC15M-26AUG071115-15 (cmd_id=1)
2026-08-07 08:14:21,051 | INFO     | arbitr8der_package.data_sources.kalshi_orderbook_websocket_client | Connected to Kalshi WebSocket for KXETH15M-26AUG071115-15
2026-08-07 08:14:21,056 | INFO     | arbitr8der_package.data_sources.kalshi_orderbook_websocket_client | Sent subscribe for KXETH15M-26AUG071115-15 (cmd_id=1)
2026-08-07 08:14:21,109 | INFO     | arbitr8der_package.data_sources.kalshi_orderbook_websocket_client | Subscribed to orderbook_delta (sid=1)
2026-08-07 08:14:21,114 | INFO     | arbitr8der_package.data_sources.kalshi_orderbook_websocket_client | Order book snapshot applied for KXBTC15M-26AUG071115-15 (seq=1, yes_levels=6, no_levels=95)
2026-08-07 08:14:21,135 | INFO     | arbitr8der_package.data_sources.kalshi_orderbook_websocket_client | Subscribed to orderbook_delta (sid=1)
2026-08-07 08:14:21,139 | INFO     | arbitr8der_package.data_sources.kalshi_orderbook_websocket_client | Order book snapshot applied for KXETH15M-26AUG071115-15 (seq=1, yes_levels=100, no_levels=1)
2026-08-07 08:14:21,925 | INFO     | arbitr8der_package.data_sources.candle_collection_battery | Binance backfill complete for BTCUSDT: 1000 candles stored
2026-08-07 08:14:21,930 | INFO     | arbitr8der_package.data_sources.candle_collection_battery | Backfilling Coinbase BTC-USD 1m candles
2026-08-07 08:14:22,891 | ERROR    | arbitr8der_package.data_sources.binance_spot_price_stream | Binance WebSocket connection failed: server rejected WebSocket connection: HTTP 451 (failures=2)
2026-08-07 08:14:22,895 | WARNING  | arbitr8der_package.data_sources.binance_spot_price_stream | Binance WS never connected after 2 attempts — switching to REST spot price polling
2026-08-07 08:14:22,898 | INFO     | arbitr8der_package.data_sources.binance_spot_price_stream | Starting Binance REST spot price polling for ['btcusdt', 'ethusdt']
2026-08-07 08:14:23,163 | INFO     | arbitr8der_package.data_sources.coinbase_spot_price_stream | Connected to Coinbase WebSocket
2026-08-07 08:14:25,482 | WARNING  | arbitr8der_package.data_sources.ingestion_orchestrator | Provider task 'settlement-watcher' exited normally (unexpected)
2026-08-07 08:14:25,961 | INFO     | httpx | HTTP Request: GET https://api.elections.kalshi.com/trade-api/v2/markets?series_ticker=KXBTC15M&status=closed&limit=20 "HTTP/1.1 200 OK"
2026-08-07 08:14:27,246 | INFO     | httpx | HTTP Request: GET https://api.exchange.coinbase.com/products/BTC-USD/candles?granularity=60&limit=300&start=2026-08-07T14%3A57%3A00%2B00%3A00 "HTTP/1.1 200 OK"
2026-08-07 08:14:27,339 | INFO     | arbitr8der_package.data_sources.candle_collection_battery | Coinbase backfill complete for BTC-USD: 350 candles stored
2026-08-07 08:14:27,342 | INFO     | arbitr8der_package.data_sources.candle_collection_battery | Backfilling Binance ETHUSDT 1m candles
